TransactionID,customer_id,card_id,ts,TransactionAmt,ProductCD,channel,risk_score,addr1,P_emaildomain,device_profile_id,id_15,id_23,id_34
SMP-T4003,SMP-C404,SMP-C404-K1,2026-09-16T21:05:00Z,44.00,W,online,0.13,204,icloud.com,SMP-DEV-40,Found,,match_status:2
SMP-T4004,SMP-C404,SMP-C404-K1,2026-09-20T19:00:00Z,120.00,R,in_person,0.22,204,icloud.com,,,,match_status:2
SMP-T4005,SMP-C404,SMP-C404-K1,2026-09-21T03:15:00Z,2750.00,W,online,0.81,204,mail.ru,SMP-DEV-66,New,IP_PROXY:anonymous,match_status:0
SMP-T5001,SMP-C505,SMP-C505-K1,2026-08-22T16:40:00Z,54.10,W,online,0.20,110,gmail.com,SMP-DEV-55,Found,,
SMP-T5002,SMP-C505,SMP-C505-K1,2026-08-29T16:35:00Z,61.00,W,online,0.22,110,gmail.com,SMP-DEV-55,Found,,
SMP-T5003,SMP-C505,SMP-C505-K1,2026-09-05T16:52:00Z,57.30,W,online,0.19,110,gmail.com,SMP-DEV-55,Found,,
SMP-T5004,SMP-C505,SMP-C505-K1,2026-09-12T16:44:00Z,55.80,W,online,0.24,110,gmail.com,SMP-DEV-55,Found,,
SMP-T5005,SMP-C505,SMP-C505-K1,2026-09-15T12:20:00Z,23.50,R,in_person,0.10,110,gmail.com,,,,
SMP-T5006,SMP-C505,SMP-C505-K1,2026-09-20T16:47:00Z,58.40,W,online,0.31,110,gmail.com,SMP-DEV-55,Found,,
SMP-T6001,SMP-C606,SMP-C606-K1,2026-09-12T11:00:00Z,72.00,W,online,0.16,204,hotmail.com,SMP-DEV-61,Found,,
SMP-T6002,SMP-C606,SMP-C606-K1,2026-09-21T23:30:00Z,185.00,W,online,0.57,204,hotmail.com,SMP-DEV-61,Found,,
SMP-T6003,SMP-C606,SMP-C606-K1,2026-09-22T06:15:00Z,95.00,W,online,0.49,204,hotmail.com,SMP-DEV-61,Found,,
SMP-T6004,SMP-C606,SMP-C606-K1,2026-09-22T09:50:00Z,2940.00,W,online,0.71,204,hotmail.com,SMP-DEV-61,Found,,
SMP-T7001,SMP-C701,SMP-C701-K1,2026-09-15T12:00:00Z,38.50,R,in_person,0.10,204,gmail.com,,,,
SMP-T7002,SMP-C701,SMP-C701-K1,2026-09-18T18:20:00Z,44.10,R,in_person,0.12,204,gmail.com,,,,
SMP-T7101,SMP-C702,SMP-C702-K1,2026-09-21T09:10:00Z,280.00,W,online,0.52,299,protonmail.com,SMP-DEV-70,Found,IP_PROXY:anonymous,
SMP-T7201,SMP-C703,SMP-C703-K1,2026-09-21T22:40:00Z,295.00,W,online,0.55,299,protonmail.com,SMP-DEV-70,Found,IP_PROXY:anonymous,
SMP-T7003,SMP-C701,SMP-C701-K1,2026-09-22T07:30:00Z,310.00,W,online,0.69,299,protonmail.com,SMP-DEV-70,Found,IP_PROXY:anonymous,
